codstaz,reg,prov_,stazione,linea_fisi,saliti7_9,discesi7_9,corse7_9,saliti24h,corse24h,saliti_s,saliti_r,saliti_re,corse_s,corse_r,corse_re,anno,calendario,point_x,point_y
"2798",LO,CO,Portichetto-Luisago,Saronno - Como,295.0000000000000000000000000000000,65.0000000000000000000000000000000,7.0000000000000008881784197001252,639.0000000000000000000000000000000,62.0000000000000000000000000000000,0.0000000000000000000000000000000,634.0000000000000000000000000000000,4.9999999999999991118215802998748,0.0000000000000000000000000000000,61.0000000000000000000000000000000,1.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,9.0502896849999991957247402751818,45.7592007530000017823113012127578
"158",LO,SO,PONTE IN VALTELLINA,TIRANO-MILANO So-Tir,4.0000000000000000000000000000000,2.0000000000000000000000000000000,1.0000000000000000000000000000000,34.0000000000000000000000000000000,14.0000000000000017763568394002505,0.0000000000000000000000000000000,33.0000000000000000000000000000000,1.0000000000000000000000000000000,0.0000000000000000000000000000000,9.0000000000000000000000000000000,4.9999999999999991118215802998748,2018.0000000000000000000000000000000,Invernale,9.9759194390000001106955096474849,46.1627088990000018497994460631162
"248",LO,MI,LOCATE TRIULZI,MILANO-GENOVA,745.0000000000000000000000000000000,126.0000000000000000000000000000000,7.0000000000000008881784197001252,1770.0000000000000000000000000000000,74.0000000000000000000000000000000,1766.0000000000000000000000000000000,0.0000000000000000000000000000000,4.0000000000000000000000000000000,71.0000000000000000000000000000000,0.0000000000000000000000000000000,3.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,9.2214347679999999485289663425647,45.3598059850000012716009223368019
"2862",LO,MI,MILANO DATEO,PASSANTE,1532.0000000000000000000000000000000,2487.0000000000000000000000000000000,41.0000000000000000000000000000000,8524.0000000000000000000000000000000,359.0000000000000000000000000000000,8524.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,359.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,2019.0000000000000000000000000000000,Invernale,9.2173093749999992496668710373342,45.4676696109999980421889631543308
"2722",LO,BS,Breno,Pisogne - Breno,51.0000000000000000000000000000000,128.0000000000000000000000000000000,3.0000000000000000000000000000000,374.0000000000000000000000000000000,32.0000000000000000000000000000000,0.0000000000000000000000000000000,196.0000000000000000000000000000000,178.0000000000000000000000000000000,0.0000000000000000000000000000000,19.0000000000000000000000000000000,13.0000000000000000000000000000000,2018.0000000000000000000000000000000,Invernale,10.3054837920000004203302523819730,45.9592613689999964776689012069255
"286",LO,PV,BELGIOIOSO,PAVIA-CASALPUST.,164.0000000000000000000000000000000,18.0000000000000000000000000000000,4.9999999999999991118215802998748,280.0000000000000000000000000000000,28.0000000000000035527136788005009,0.0000000000000000000000000000000,280.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,28.0000000000000035527136788005009,0.0000000000000000000000000000000,2018.0000000000000000000000000000000,Invernale,9.3169072130000003539862518664449,45.1646457459999979278109094593674
"2747",LO,CO,Como Nord Borghi,Saronno - Como,582.9999999999998863131622783839703,935.0000000000000000000000000000000,9.9999999999999982236431605997495,2578.0000000000000000000000000000000,70.0000000000000000000000000000000,0.0000000000000000000000000000000,2211.0000000000000000000000000000000,367.0000000000000000000000000000000,0.0000000000000000000000000000000,60.0000000000000000000000000000000,9.9999999999999982236431605997495,2018.0000000000000000000000000000000,Invernale,9.0909579399999991267122823046520,45.8049100859999995805083017330617
"122",LO,CO,CANTU'-CERMENATE,CHIASSO-MILANO,377.0000000000000000000000000000000,79.0000000000000000000000000000000,9.9999999999999982236431605997495,893.0000000000000000000000000000000,68.0000000000000000000000000000000,674.0000000000000000000000000000000,0.0000000000000000000000000000000,219.0000000000000000000000000000000,65.0000000000000000000000000000000,0.0000000000000000000000000000000,3.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,9.0993124319999996174601619713940,45.7163137730000030956034606788307
"195",LO,MI,CARNATE USMATE,TIRANO-MILANO Mz-Lc,1640.0000000000000000000000000000000,439.0000000000000000000000000000000,21.0000000000000000000000000000000,3745.0000000000000000000000000000000,120.0000000000000000000000000000000,2116.0000000000000000000000000000000,1269.0000000000000000000000000000000,360.0000000000000000000000000000000,69.0000000000000000000000000000000,46.0000000000000000000000000000000,4.9999999999999991118215802998748,2019.0000000000000000000000000000000,Invernale,9.3751173419999993541296134935692,45.6531497060000006626978574786335
"277",LO,CR,S.GIOVANNI IN CROCE,BRESCIA-PARMA,32.0000000000000000000000000000000,6.0000000000000000000000000000000,3.0000000000000000000000000000000,90.0000000000000000000000000000000,27.0000000000000000000000000000000,0.0000000000000000000000000000000,90.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,27.0000000000000000000000000000000,0.0000000000000000000000000000000,2016.0000000000000000000000000000000,Invernale,10.3775487500000007656808520550840,45.0758652629999971850338624790311
"104",LO,VA,BESOZZO,LUINO-GALLARATE,100.0000000000000000000000000000000,21.0000000000000000000000000000000,4.0000000000000000000000000000000,274.0000000000000000000000000000000,29.0000000000000000000000000000000,0.0000000000000000000000000000000,274.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,29.0000000000000000000000000000000,0.0000000000000000000000000000000,2019.0000000000000000000000000000000,Invernale,8.6630394899999991764616424916312,45.8422648640000005570982466451824
"217",LO,BG,VERDELLO DALMINE,BERGAMO-CREMONA,1397.0000000000000000000000000000000,243.0000000000000000000000000000000,17.0000000000000000000000000000000,3185.0000000000000000000000000000000,104.0000000000000000000000000000000,0.0000000000000000000000000000000,642.0000000000000000000000000000000,2543.0000000000000000000000000000000,0.0000000000000000000000000000000,52.0000000000000000000000000000000,52.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,9.6198263199999995975986166740768,45.6057926049999977635707182344049
"2864",LO,MI,SEGRATE,MILANO-VENEZIA,605.0000000000000000000000000000000,532.0000000000000000000000000000000,16.0000000000000000000000000000000,2052.0000000000000000000000000000000,146.0000000000000000000000000000000,2052.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,146.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,2017.0000000000000000000000000000000,Invernale,9.2914186690000004631428964785300,45.4795942820000007600356184411794
