NOME_COM_2,ISTAT_2017,NOME_PRO,POP_2017,POP_2014,VARIAZ_17_,SHAPE_AREA,SHAPE_LEN
GARDONE VALTROMPIA,"17075",BRESCIA,11528.00000000,11737.00000000,-209.00000000,26577600.16979999840,31032.01632290000
NIARDO,"17118",BRESCIA,1980.00000000,1999.00000000,-19.00000000,22180607.36129999906,22748.90486460000
GAZZUOLO,"20025",MANTOVA,2259.00000000,2368.00000000,-109.00000000,22332166.16620000079,24589.44876710000
CAPO DI PONTE,"17035",BRESCIA,2453.00000000,2480.00000000,-27.00000000,18613730.69970000163,25852.82410360000
CAPOVALLE,"17036",BRESCIA,368.00000000,368.00000000,0.00000000,22781865.41079999879,19462.65836830000
CAPRIANO DEL COLLE,"17037",BRESCIA,4667.00000000,4673.00000000,-6.00000000,14020653.16110000201,22024.09514530000
CASTEGNATO,"17040",BRESCIA,8361.00000000,8317.00000000,44.00000000,9244317.30463000014,15555.15230590000
CEVO,"17051",BRESCIA,887.00000000,907.00000000,-20.00000000,35197826.08940000087,45286.57227370000
SANT`OMOBONO TERME,"16252",BERGAMO,3942.00000000,3981.00000000,-39.00000000,16164056.52140000090,25424.54613370000
CORNATE D`ADDA,"108053",MONZA E DELLA BRIANZA,10729.00000000,10710.00000000,19.00000000,14140515.56970000081,20044.79715360000
COLVERDE,"13251",COMO,5401.00000000,5402.00000000,-1.00000000,8488349.55014000088,16333.93132230000
ISORELLA,"17086",BRESCIA,4065.00000000,4116.00000000,-51.00000000,15386687.41569999792,19488.42005220000
ALME`,"16005",BERGAMO,5619.00000000,5677.00000000,-58.00000000,1976366.36804999993,6390.82339952000
MAGASA,"17098",BRESCIA,133.00000000,140.00000000,-7.00000000,19012258.93950000033,23929.92126600000
CAPRIOLO,"17038",BRESCIA,9405.00000000,9433.00000000,-28.00000000,10803591.59820000082,22349.61425000000
SESTO CALENDE,"12120",VARESE,11115.00000000,11121.00000000,-6.00000000,25118730.01159999892,31853.76455950000
BUGLIO IN MONTE,"14010",SONDRIO,2010.00000000,2035.00000000,-25.00000000,28068312.24230000004,34433.34991790000
SAN BASSANO,"19088",CREMONA,2162.00000000,2195.00000000,-33.00000000,13879998.66919999942,28357.06875930000
SAN DANIELE PO,"19089",CREMONA,1374.00000000,1387.00000000,-13.00000000,22682045.38340000063,22273.08397400000
VERDERIO,"97091",LECCO,5668.00000000,5734.00000000,-66.00000000,6523028.46239999961,12715.05778120000
BRINZIO,"12021",VARESE,816.00000000,845.00000000,-29.00000000,6497372.03498000000,12753.11196230000
BIONE,"17019",BRESCIA,1370.00000000,1408.00000000,-38.00000000,17322135.31329999864,21174.06514200000
CASTO,"17044",BRESCIA,1713.00000000,1807.00000000,-94.00000000,21334432.00239999965,29039.72658300000
CAZZAGO SAN MARTINO,"17046",BRESCIA,10941.00000000,10967.00000000,-26.00000000,22210910.60399999842,34867.89022140000
SAN GIOVANNI IN CROCE,"19090",CREMONA,1912.00000000,1916.00000000,-4.00000000,16193208.07069999911,29948.64353210000
SCANDOLARA RAVARA,"19092",CREMONA,1380.00000000,1424.00000000,-44.00000000,17094026.63199999928,24737.45048990000
SCANDOLARA RIPA D`OGLIO,"19093",CREMONA,572.00000000,563.00000000,9.00000000,5690410.44450999983,12204.20558880000
CEDEGOLO,"17047",BRESCIA,1215.00000000,1233.00000000,-18.00000000,10777093.61490000039,22497.28989200000
BIGARELLO,"20004",MANTOVA,2120.00000000,2118.00000000,2.00000000,26972576.28869999945,32902.62284400000
CORTE PALASIO,"98024",LODI,1564.00000000,1549.00000000,15.00000000,15626623.43689999916,35530.82713610000
CRESPIATICA,"98025",LODI,2258.00000000,2193.00000000,65.00000000,7051393.91928000003,14449.89595510000
SESTO ED UNITI,"19095",CREMONA,3213.00000000,3138.00000000,75.00000000,26450608.39160000160,39356.44457160000
BOZZOLO,"20007",MANTOVA,4209.00000000,4231.00000000,-22.00000000,18839305.14640000090,21027.45178500000
CERVENO,"17049",BRESCIA,663.00000000,662.00000000,1.00000000,21519184.88100000098,36340.75590890000
GRAFFIGNANA,"98028",LODI,2616.00000000,2680.00000000,-64.00000000,10750694.26590000093,19704.88610240000
SONCINO,"19097",CREMONA,7665.00000000,7757.00000000,-92.00000000,45389241.23070000112,48474.98301820000
CANNETO SULL`OGLIO,"20008",MANTOVA,4433.00000000,4474.00000000,-41.00000000,25945898.08540000394,39522.91140370001
SERGNANO,"19094",CREMONA,3568.00000000,3648.00000000,-80.00000000,12481549.65760000050,23469.76673790000
BORGOFRANCO SUL PO,"20006",MANTOVA,772.00000000,782.00000000,-10.00000000,14920586.38649999909,18459.60436200000
CETO,"17050",BRESCIA,1912.00000000,1920.00000000,-8.00000000,32270240.14420000091,37117.43166970001
SORESINA,"19098",CREMONA,8948.00000000,9063.00000000,-115.00000000,28515343.85960000008,35726.13155130000
ROBECCO D`OGLIO,"19085",CREMONA,2343.00000000,2373.00000000,-30.00000000,18129216.32009999827,26557.83693430000
SPINO D`ADDA,"19102",CREMONA,6843.00000000,6902.00000000,-59.00000000,19884577.57189999893,23925.17611710000
CASTEL GOFFREDO,"20015",MANTOVA,12589.00000000,12533.00000000,56.00000000,42021696.09350000322,36691.14759860000
CAVRIANA,"20018",MANTOVA,3857.00000000,3904.00000000,-47.00000000,36856203.10270000249,40343.39671460000
GALGAGNANO,"98027",LODI,1223.00000000,1253.00000000,-30.00000000,5979041.30020000041,14442.18162210000
CAINO,"17031",BRESCIA,2161.00000000,2169.00000000,-8.00000000,17255638.04149999842,18220.95038850000
CALCINATO,"17032",BRESCIA,12915.00000000,12861.00000000,54.00000000,33326606.47649999708,28366.04206730000
GUARDAMIGLIO,"98029",LODI,2681.00000000,2718.00000000,-37.00000000,10439335.15169999935,17151.70970040000
FOMBIO,"98026",LODI,2314.00000000,2313.00000000,1.00000000,7456740.34104000032,19279.74359850000
SPINADESCO,"19100",CREMONA,1508.00000000,1549.00000000,-41.00000000,17404461.17139999941,23666.01436210000
CASALOLDO,"20011",MANTOVA,2687.00000000,2692.00000000,-5.00000000,16943707.18230000138,21094.87736730000
CASALROMANO,"20012",MANTOVA,1486.00000000,1493.00000000,-7.00000000,11886133.81159999967,18837.84168720000
CASTEL D`ARIO,"20014",MANTOVA,4669.00000000,4762.00000000,-93.00000000,22542378.03620000184,25735.36929630000
MEDOLE,"20034",MANTOVA,4031.00000000,4070.00000000,-39.00000000,25955403.86639999971,28432.33195300000
MONZAMBANO,"20036",MANTOVA,4836.00000000,4878.00000000,-42.00000000,29900107.98209999874,29955.51120440000
GAZOLDO DEGLI IPPOLITI,"20024",MANTOVA,2983.00000000,3003.00000000,-20.00000000,12949609.58999999985,18363.89896710000
SOSPIRO,"19099",CREMONA,3103.00000000,3186.00000000,-83.00000000,19123007.43849999830,28002.47608090000
SPINEDA,"19101",CREMONA,608.00000000,608.00000000,0.00000000,10314715.09840000048,16664.38791790000
ROMANENGO,"19086",CREMONA,3071.00000000,3078.00000000,-7.00000000,14879813.01319999993,23023.04417620000
SALVIROLA,"19087",CREMONA,1163.00000000,1169.00000000,-6.00000000,7378401.02347000036,21696.04924830000
BERLINGO,"17015",BRESCIA,2706.00000000,2729.00000000,-23.00000000,4598019.84681999963,12137.62160680000
TORRE DE` PICENARDI,"19107",CREMONA,1697.00000000,1769.00000000,-72.00000000,17048919.42550000176,24672.16799620000
ISEO,"17085",BRESCIA,9171.00000000,9202.00000000,-31.00000000,26602003.23310000077,29703.49911570000
CORNOVECCHIO,"98023",LODI,215.00000000,218.00000000,-3.00000000,6527503.30783999991,13653.86212690000
TORRICELLA DEL PIZZO,"19108",CREMONA,594.00000000,634.00000000,-40.00000000,24119469.39490000531,27719.83753900000
ORINO,"12110",VARESE,850.00000000,863.00000000,-13.00000000,3930472.63318999996,8691.88491658000
BRANDICO,"17026",BRESCIA,1685.00000000,1655.00000000,30.00000000,8452304.85167999938,16501.24815280000
STAGNO LOMBARDO,"19103",CREMONA,1550.00000000,1564.00000000,-14.00000000,39962445.85080000013,34374.67162150000
VAIANO CREMASCO,"19111",CREMONA,3767.00000000,3818.00000000,-51.00000000,6263076.91050999891,15751.31261040000
VESCOVATO,"19113",CREMONA,3895.00000000,3946.00000000,-51.00000000,17380313.19409999996,27469.05366910000
CASTELLUCCHIO,"20016",MANTOVA,5228.00000000,5238.00000000,-10.00000000,46551388.05080000311,34150.14296580000
CERESARA,"20019",MANTOVA,2634.00000000,2695.00000000,-61.00000000,37689459.95210000128,38434.39770060000
LIVRAGA,"98030",LODI,2543.00000000,2609.00000000,-66.00000000,12157372.90340000018,23586.58454740000
CREDERA RUBBIANO,"19034",CREMONA,1600.00000000,1643.00000000,-43.00000000,14384708.40939999931,21801.20097080000
COMMESSAGGIO,"20020",MANTOVA,1098.00000000,1125.00000000,-27.00000000,11577759.23589999788,18114.68922230000
TORNATA,"19106",CREMONA,461.00000000,468.00000000,-7.00000000,10244737.47660000063,17082.21158290000
CARBONARA DI PO,"20009",MANTOVA,1259.00000000,1313.00000000,-54.00000000,15678788.08100000024,23206.98201600000
CASALMORO,"20010",MANTOVA,2242.00000000,2287.00000000,-45.00000000,13852586.30020000041,18429.86891170000
CASTELVISCONTI,"19027",CREMONA,301.00000000,326.00000000,-25.00000000,9889678.29144000076,15137.71525930000
CINGIA DE` BOTTI,"19031",CREMONA,1254.00000000,1295.00000000,-41.00000000,14373945.96020000055,21271.61109570000
ERVE,"97034",LECCO,713.00000000,726.00000000,-13.00000000,6185106.99112000037,10956.49228620000
MALGRATE,"97045",LECCO,4250.00000000,4313.00000000,-63.00000000,1857360.63926999993,6623.33133014000
OLGINATE,"97059",LECCO,6991.00000000,7088.00000000,-97.00000000,8037602.88262999896,19578.42033270000
SANT`ANGELO LODIGIANO,"98050",LODI,13046.00000000,13181.00000000,-135.00000000,20039841.85579999909,34466.99301320000
ARCISATE,"12004",VARESE,9962.00000000,9967.00000000,-5.00000000,12109243.41400000080,22386.45434520000
ARSAGO SEPRIO,"12005",VARESE,4903.00000000,4953.00000000,-50.00000000,10369013.22939999960,17843.22277360000
CREMA,"19035",CREMONA,34410.00000000,34212.00000000,198.00000000,34593733.84579999745,37369.93866860000
OLIVETO LARIO,"97060",LECCO,1243.00000000,1195.00000000,48.00000000,16285869.13360000029,23467.38269550000
SANTO STEFANO LODIGIANO,"98051",LODI,1918.00000000,1944.00000000,-26.00000000,10419211.54519999959,22018.45874020000
TREMENICO,"97081",LECCO,161.00000000,170.00000000,-9.00000000,8809887.67214000039,15134.33901650000
VALGREGHENTINO,"97082",LECCO,3466.00000000,3446.00000000,20.00000000,6260297.52385000046,15497.97781170000
OSNAGO,"97061",LECCO,4777.00000000,4850.00000000,-73.00000000,4426427.69692000002,17762.38439260000
SECUGNAGO,"98052",LODI,2010.00000000,2040.00000000,-30.00000000,6697666.01881000027,15960.60546250000
CHIEVE,"19029",CREMONA,2282.00000000,2292.00000000,-10.00000000,6341669.22011999972,11749.72614160000
CICOGNOLO,"19030",CREMONA,963.00000000,978.00000000,-15.00000000,6953524.91863000020,18598.75276040000
ALBIZZATE,"12002",VARESE,5322.00000000,5349.00000000,-27.00000000,3867477.71541000018,11210.00115660000
CREMONA,"19036",CREMONA,71924.00000000,71657.00000000,267.00000000,70371215.38019999862,52591.02220660000
CASTIGLIONE DELLE STIVIERE,"20017",MANTOVA,23274.00000000,23157.00000000,117.00000000,42151025.66470000148,31241.07100960000
SAMARATE,"12118",VARESE,16021.00000000,16027.00000000,-6.00000000,15985065.41939999908,26123.72788630000
SARONNO,"12119",VARESE,39351.00000000,39437.00000000,-86.00000000,10883752.73790000007,21820.86030030000
MONTE MARENZO,"97052",LECCO,1923.00000000,1958.00000000,-35.00000000,3059316.88695999980,9127.46232971000
MONTEVECCHIA,"97053",LECCO,2636.00000000,2605.00000000,31.00000000,5880605.94768000022,14119.71060240000
GUIDIZZOLO,"20028",MANTOVA,6079.00000000,6220.00000000,-141.00000000,22487770.89350000024,21898.02354590000
MAGNACAVALLO,"20029",MANTOVA,1521.00000000,1597.00000000,-76.00000000,28236542.04659999907,29524.76956030000
MARCARIA,"20031",MANTOVA,6646.00000000,6678.00000000,-32.00000000,89469448.39049999416,58569.45923950000
MOTTEGGIANA,"20037",MANTOVA,2655.00000000,2602.00000000,53.00000000,24813292.86100000143,43976.42481540000
PEGOGNAGA,"20039",MANTOVA,7069.00000000,7218.00000000,-149.00000000,46684540.92000000179,41166.16508820001
MARMIROLO,"20033",MANTOVA,7830.00000000,7844.00000000,-14.00000000,42179008.61930000037,46140.76433940000
OSTIGLIA,"20038",MANTOVA,6838.00000000,6892.00000000,-54.00000000,40055085.92289999872,39505.22401840000
LODI VECCHIO,"98032",LODI,7527.00000000,7515.00000000,12.00000000,16033046.02199999988,30748.54953340000
MACCASTORNA,"98033",LODI,73.00000000,65.00000000,8.00000000,5711081.22135000024,14528.24898820000
MARUDO,"98036",LODI,1707.00000000,1660.00000000,47.00000000,4227048.51375999954,10871.02549380000
ORIO LITTA,"98042",LODI,2080.00000000,2052.00000000,28.00000000,9900400.51623000018,16370.88303650000
SALERANO SUL LAMBRO,"98046",LODI,2623.00000000,2663.00000000,-40.00000000,4297480.54263000004,12332.62315150000
PIEVE DI CORIANO,"20040",MANTOVA,1033.00000000,1069.00000000,-36.00000000,12656361.38709999807,15763.42600790000
MONTE ISOLA,"17111",BRESCIA,1744.00000000,1767.00000000,-23.00000000,11131314.89059999958,12527.42031220000
MARIANA MANTOVANA,"20032",MANTOVA,746.00000000,730.00000000,16.00000000,8821115.26541999914,20564.93644760000
SAN FIORANO,"98047",LODI,1830.00000000,1845.00000000,-15.00000000,8971542.67111999914,16034.52460510000
SAN MARTINO IN STRADA,"98048",LODI,3681.00000000,3663.00000000,18.00000000,13089583.70879999921,27878.74910190000
LOGRATO,"17091",BRESCIA,3826.00000000,3813.00000000,13.00000000,12324137.02590000071,22995.12186000000
PIUBEGA,"20041",MANTOVA,1700.00000000,1737.00000000,-37.00000000,16411482.05049999803,20624.29861700000
CALVAGESE DELLA RIVIERA,"17033",BRESCIA,3569.00000000,3521.00000000,48.00000000,11774124.29959999956,19301.41172230000
CALVISANO,"17034",BRESCIA,8502.00000000,8604.00000000,-102.00000000,45037193.12080000341,35825.90957060000
OSPEDALETTO LODIGIANO,"98043",LODI,2033.00000000,1895.00000000,138.00000000,8443183.93555999920,13310.39277670000
CASTELLEONE,"19025",CREMONA,9374.00000000,9537.00000000,-163.00000000,45026023.51600000262,40982.94483050000
CASTELVERDE,"19026",CREMONA,5715.00000000,5791.00000000,-76.00000000,30951559.12779999897,37955.45574290000
SAN ROCCO AL PORTO,"98049",LODI,3528.00000000,3520.00000000,8.00000000,30594604.83720000088,29006.18984760000
SANTA MARIA HOE`,"97074",LECCO,2192.00000000,2205.00000000,-13.00000000,2800845.04584999988,15499.99403060000
CORTE DE` CORTESI CON CIGNONE,"19032",CREMONA,1087.00000000,1065.00000000,22.00000000,12790951.13509999961,22413.72136400000
CORTE DE` FRATI,"19033",CREMONA,1408.00000000,1412.00000000,-4.00000000,20210651.43560000136,25141.37531540000
OLGIATE MOLGORA,"97058",LECCO,6473.00000000,6376.00000000,97.00000000,7140730.74426000006,21736.17622970000
SIRONE,"97075",LECCO,2369.00000000,2404.00000000,-35.00000000,3248560.42439999990,11893.04872930000
BELLUSCO,"108006",MONZA E DELLA BRIANZA,7360.00000000,7359.00000000,1.00000000,6595840.81790999975,20711.85268090000
BESANA IN BRIANZA,"108008",MONZA E DELLA BRIANZA,15489.00000000,15520.00000000,-31.00000000,15719008.78830000199,34769.67619090000
PAGNONA,"97063",LECCO,366.00000000,386.00000000,-20.00000000,8982762.37050000019,14140.19049980000
VALMADRERA,"97083",LECCO,11612.00000000,11749.00000000,-137.00000000,12319558.82440000027,16661.23864940000
VARENNA,"97084",LECCO,770.00000000,784.00000000,-14.00000000,12424741.98760000058,17373.65098040000
BIASSONO,"108009",MONZA E DELLA BRIANZA,12201.00000000,12065.00000000,136.00000000,4792429.92296999972,16293.05558170000
BOVISIO MASCIAGO,"108010",MONZA E DELLA BRIANZA,16885.00000000,17110.00000000,-225.00000000,5002715.61503999960,19510.52420020000
SOLBIATE OLONA,"12122",VARESE,5493.00000000,5564.00000000,-71.00000000,4886195.57318999991,10894.81418030000
PARLASCO,"97064",LECCO,142.00000000,139.00000000,3.00000000,2947068.16333999997,8234.26359815000
SOMAGLIA,"98054",LODI,3824.00000000,3825.00000000,-1.00000000,20773067.21319999918,36836.13528480000
SORDIO,"98055",LODI,3352.00000000,3299.00000000,53.00000000,2818909.17266000016,8981.17713153000
ANGERA,"12003",VARESE,5583.00000000,5653.00000000,-70.00000000,17741214.10819999874,27794.97901210000
